date;open;high;low;close;volume;Name
08.02.2013;67.7142;68.4014;66.8928;67.8542;158168416;AAPL
11.02.2013;68.0714;69.2771;67.6071;68.5614;129029425;AAPL
12.02.2013;68.5014;68.9114;66.8205;66.8428;151829363;AAPL
